tweet,label
"['house', 'clean', 'amp', 'woman', 'complain', 'trash', 'man']",0
"['cold', 'dwn', 'bad', 'cuffin', 'dat', 'boy', 'hoe', 'tyga', 'place', '1st']",1
"['fuck', 'start', 'shit', 'bitch', 'cry', 'dawg', 'confuse']",1
"['like', 'tranny', 'look']",1
"['shit', 'true', 'bitch', 'faker', 'hear', 'tell']",1
"['fuck', 'faithful', 'claim', 'shit', 'somebody', 'hoe', 'blow']",1
"['shit', 'get', 'hate', 'bitch', 'go', 'sit']",1
"['come', 'cause', 'bitch', 'girl', 'tired', 'skinny', 'big']",1
"['bitch', 'amp']",1
"['include', 'fight', 'bitch', 'mariam', 'hobby']",1
"['like', 'walk', 'bitch', 'conversation', 'lol', 'keeks', 'smh', 'curve']",1
"['gang', 'land', 'bitch', 'murda']",1
"['loser', 'yea', 'hoe', 'smoke']",1
"['bad', 'bitch', 'like', 'thing']",1
['bitch'],1
"['miss', 'nigga', 'bitch']",1
"['bitch', 'plz']",1
"['love', 'bitch']",1
"['everyday', 'bitch', 'cut']",1
"['bad', 'bottle', 'bitch', 'amp', 'black']",1
"['broke', 'tell', 'bitch']",1
"['like', 'bitch', 'cancel', 'nino']",1
"['change', 'hoe']",1
"['fuck', 'bout', 'bitch', 'dick', 'kermit', 'video', 'suck']",1
"['floor', 'get', 'bitch', 'toe', 'hardwood', 'tip']",1
"['like', 'door', 'heaven', 'lip', 'pussy']",1
"['hitting', 'hoe']",1
"['meet', 'pill', 'ocean', 'give', 'pussy']",1
"['fuck', 'hennessy', 'trippy', 'bitch', 'need']",1
"['bitch', 'business', 'want', 'spend', 'money']",1
"['bitch', 'txt', 'new', 'old', 'wetter', 'pussy']",1
"['excited', 'bitch', 'old']",1
"['bout', 'nigga', 'game', 'murder', 'shut', 'pussy']",1
"['stink', 'toe', 'pussy']",1
"['bitter', 'wrap', 'bitch', 'bird', 'app', 'angry']",1
['bitch'],1
"['bitch', 'cut']",1
"['ass', 'meet', 'shot', 'mane', 'jus', 'bitch', 'son']",1
"['clown', 'hoe', 'lame', 'cry', 'tear']",1
"['snoop', 'like', 'say', 'hoe', 'love']",1
"['doghouse', 'inside', 'say', 'momma', 'cat', 'pussy']",0
"['2mw', 'hoe', 'sevenone', 'favorite', 'hated']",1
"['thick', 'bad', 'like', 'nice', 'chick', 'naughty', 'girl', 'hoe', 'south', 'yello', 'real', 'body']",1
"['pimp', 'future', 'hoe', 'voice']",1
"['like', 'post', 'picture', 'pussy']",1
"['happyhumpday', 'drug', 'powerful', 'pussy']",1
"['quick', 'drive', 'piece', 'pussy']",1
"['fuck', 'like', 'round', 'bout', 'run', 'new', 'brand', 'pussy']",1
"['send', 'bad', 'bitch', 'guy']",1
"['like', 'niggas', 'bout', 'hoe', 'talk', 'spend', 'money']",1
"['trust', 'niggas', 'bitch']",1
"['cause', 'niggas', 'cuff', 'bitch', 'hoe']",1
"['bullet', 'bitch', 'pregnant', 'thank', 'cut', 'god', 'dodge', 'bind']",1
"['pill', 'bitch', 'music', 'love', 'young', 'chamberlain']",1
"['twitter', 'teanna', 'hoe', 'probably', 'clean', 'trump']",1
"['like', 'niggas', 'bitch', 'gay', 'tonight', 'act', 'wait']",1
"['replace', 'pitbull', 'bitch', 'cat', 'steal']",1
"['go', 'amp', 'hoe']",1
"['like', 'bitch', 'movie', 'son', 'take', 'tacs', 'tic']",1
"['fuck', 'model', 'bitch', 'wanna', 'simmons', 'money', 'russell']",1
"['ass', 'mind', 'bitch', 'probably', 'retweet', 'didn', 'school', 'deal', 'wouldn', 'teacher']",1
"['fag', 'say', 'fucking']",1
"['stuff', 'date', 'think', 'female', 'cute', 'pussy']",1
"['simplyaddictedtoguy', 'lad', 'hot', 'woof', 'scally']",0
"['bitch', 'kanye', 'yes', 'voice', 'ask']",1
"['friend', 'bitch', 'go', 'game', 'know', 'swear', 'bring']",1
"['sol', 'hot', 'woof']",0
